Name,Cumulative Enrollment,Total Suspensions,Suspension Rate,Violent Incident w/ Injury,Violent Incident w/ no injury,Weapons Possession,Illicit Drug Related ,Defiance Only,Other Reasons,school_year
West Oakland Middle,198,124,62.63%,44,62,0,0,10,8,2016-17
Community Day High,38,20,52.63%,3,8,0,3,0,6,2016-17
Community Day Middle,17,8,47.06%,1,4,0,3,0,0,2016-17
Aspire Golden State College Preparatory Academy,589,157,26.66%,19,68,4,3,63,0,2016-17
McClymonds High,453,113,24.94%,49,44,8,1,6,5,2016-17
Lafayette Elementary,204,49,24.02%,15,29,1,0,1,3,2016-17
Fremont High,932,220,23.61%,52,129,2,19,1,17,2016-17
Aspire Triumph Technology Academy,305,63,20.66%,1,56,0,0,3,3,2016-17
Elmhurst Community Prep,413,85,20.58%,43,26,0,10,6,0,2016-17
United for Success Academy,390,80,20.51%,22,42,0,10,2,4,2016-17
Alliance Academy,381,78,20.47%,20,47,2,2,1,6,2016-17
Westlake Middle,438,88,20.09%,18,54,2,2,0,12,2016-17
Epic Charter,454,81,17.84%,33,30,5,6,6,1,2016-17
Aspire ERES Academy,234,40,17.09%,1,31,0,0,6,2,2016-17
Frick Middle,292,49,16.78%,28,19,1,0,1,0,2016-17
Montera Middle,838,135,16.11%,58,57,7,0,2,11,2016-17
Aspire Lionel Wilson College Preparatory Academy,532,76,14.29%,5,33,3,13,6,16,2016-17
Urban Promise Academy,383,46,12.01%,12,25,4,3,0,2,2016-17
Madison Park Academy 6-12,804,86,10.70%,23,20,13,11,6,13,2016-17
LPS Oakland R & D Campus,371,39,10.51%,8,10,0,11,10,0,2016-17
ROOTS International Academy,353,36,10.20%,9,19,2,1,3,2,2016-17
American Indian Public High,274,27,9.85%,6,6,2,0,13,0,2016-17
ASCEND,477,43,9.01%,3,23,1,10,6,0,2016-17
Roosevelt Middle,572,51,8.92%,18,29,0,1,1,2,2016-17
Aspire College Academy,310,26,8.39%,0,21,1,1,1,2,2016-17
Lighthouse Community Charter High,263,20,7.60%,2,5,0,4,0,9,2016-17
Bret Harte Middle,713,54,7.57%,32,13,4,2,0,3,2016-17
Community United Elementary,414,31,7.49%,17,12,1,1,0,0,2016-17
Skyline High,"2,012",150,7.46%,49,73,6,11,2,9,2016-17
Bay Area Technology,324,24,7.41%,4,17,0,2,0,1,2016-17
Aspire Berkley Maynard Academy,545,40,7.34%,12,16,2,0,8,2,2016-17
Think College Now,335,24,7.16%,16,8,0,0,0,0,2016-17
ARISE High,280,20,7.14%,0,13,1,5,1,0,2016-17
Oakland International High,459,31,6.75%,8,19,0,1,0,3,2016-17
Manzanita Community,496,33,6.65%,8,24,0,0,1,0,2016-17
Rise Community,290,19,6.55%,6,9,1,0,0,3,2016-17
Roses in Concrete,308,20,6.49%,4,11,1,0,2,2,2016-17
Lighthouse Community Charter,499,32,6.41%,15,10,3,2,0,2,2016-17
Brookfield Elementary,370,23,6.22%,11,9,1,0,2,0,2016-17
Preparatory Literary Academy of Cultural Excellence,260,16,6.15%,6,7,2,0,0,1,2016-17
"Oakland Military Institute, College Preparatory Academy",721,44,6.10%,8,28,1,5,0,2,2016-17
Castlemont High,979,59,6.03%,18,35,2,2,0,2,2016-17
Futures Elementary,332,20,6.02%,10,7,0,0,0,3,2016-17
Oakland High,"1,653",98,5.93%,57,27,1,4,0,9,2016-17
Claremont Middle,473,28,5.92%,5,21,0,1,0,1,2016-17
Edna Brewer Middle,822,47,5.72%,9,27,9,1,0,1,2016-17
KIPP Bridge Academy,627,35,5.58%,18,14,0,0,3,0,2016-17
Reach Academy,471,24,5.10%,14,10,0,0,0,0,2016-17
Vincent Academy,325,16,4.92%,0,15,0,0,1,0,2016-17
Parker Elementary,414,20,4.83%,16,3,0,1,0,0,2016-17
EnCompass Academy Elementary,354,17,4.80%,6,9,0,1,1,0,2016-17
Oakland Unity High,348,16,4.60%,1,7,0,7,1,0,2016-17
Emerson Elementary,357,16,4.48%,5,9,0,0,0,2,2016-17
LIFE Academy,485,21,4.33%,8,3,1,8,0,1,2016-17
Global Family,480,20,4.17%,12,8,0,0,0,0,2016-17
East Bay Innovation Academy,435,18,4.14%,3,12,0,0,0,3,2016-17
International Community,319,13,4.08%,9,3,0,0,0,1,2016-17
Lodestar: A Lighthouse Community Charter Public,272,11,4.04%,6,4,1,0,0,0,2016-17
Oakland Charter High,449,18,4.01%,2,0,2,5,9,0,2016-17
Achieve Academy,777,31,3.99%,2,16,4,1,8,0,2016-17
Oakland Technical High,"2,072",77,3.72%,18,28,4,20,4,3,2016-17
New Highland Academy,397,14,3.53%,1,11,0,0,0,2,2016-17
Madison Park Academy TK-5,315,11,3.49%,1,10,0,0,0,0,2016-17
"Martin Luther King, Jr. Elementary",353,12,3.40%,2,7,0,0,2,1,2016-17
Fruitvale Elementary,419,14,3.34%,6,7,0,0,1,0,2016-17
Fred T. Korematsu Discovery Academy,437,14,3.20%,5,7,1,1,0,0,2016-17
Sankofa Academy,359,11,3.06%,3,7,0,0,1,0,2016-17
Garfield Elementary,662,20,3.02%,3,12,1,1,0,3,2016-17
Redwood Heights Elementary,365,11,3.01%,2,9,0,0,0,0,2016-17
Oakland School for the Arts,784,23,2.93%,1,15,0,7,0,0,2016-17
Laurel Elementary,556,16,2.88%,11,3,0,0,1,1,2016-17
Bella Vista Elementary,496,14,2.82%,2,8,1,0,0,3,2016-17
East Oakland Pride Elementary,402,11,2.74%,2,8,0,0,0,1,2016-17
Coliseum College Prep Academy,483,13,2.69%,7,3,2,0,1,0,2016-17
Aspire Monarch Academy,409,11,2.69%,2,2,0,0,6,1,2016-17
Piedmont Avenue Elementary,381,10,2.62%,6,4,0,0,0,0,2016-17
Howard Elementary,236,6,2.54%,2,4,0,0,0,0,2016-17
Learning Without Limits,440,11,2.50%,0,9,0,0,0,2,2016-17
Burckhalter Elementary,285,7,2.46%,5,1,0,0,0,1,2016-17
Horace Mann Elementary,458,11,2.40%,8,3,0,0,0,0,2016-17
MetWest High,175,4,2.29%,2,1,0,1,0,0,2016-17
Franklin Elementary,795,17,2.14%,7,7,1,0,2,0,2016-17
Glenview Elementary,472,9,1.91%,4,5,0,0,0,0,2016-17
Sequoia Elementary,444,8,1.80%,4,4,0,0,0,0,2016-17
