Name,Cumulative Enrollment,Total Suspensions,Suspension Rate,Violent Incident w/ Injury,Violent Incident w/ no injury,Weapons Possession,Illicit Drug Related ,Defiance Only,Other Reasons,school_year
Aspire Triumph Technology Academy,299,278,92.98%,7,189,3,0,64,15,2014-15
Frick Middle,294,139,47.28%,42,80,3,5,7,2,2014-15
Aspire Golden State College Preparatory Academy,591,191,32.32%,14,67,2,25,75,8,2014-15
United for Success Academy,443,118,26.64%,24,53,6,10,18,7,2014-15
Alliance Academy,438,101,23.06%,18,36,3,12,31,1,2014-15
McClymonds High,353,78,22.10%,25,43,3,3,3,1,2014-15
Aspire Lionel Wilson College Preparatory Academy,497,108,21.73%,1,53,6,14,26,8,2014-15
Aspire ERES Academy,226,49,21.68%,15,19,0,0,12,3,2014-15
Claremont Middle,477,97,20.34%,5,66,1,3,19,3,2014-15
Westlake Middle,578,111,19.20%,24,58,5,5,12,7,2014-15
Castlemont High,624,112,17.95%,25,34,0,13,25,15,2014-15
Bret Harte Middle,612,109,17.81%,39,35,2,2,27,4,2014-15
Fremont High,869,154,17.72%,58,47,4,18,12,15,2014-15
Aspire Berkley Maynard Academy,573,91,15.88%,36,37,1,3,12,2,2014-15
LPS Oakland R & D Campus,305,47,15.41%,3,21,1,9,12,1,2014-15
Community Day,41,6,14.63%,5,1,0,0,0,0,2014-15
West Oakland Middle,255,35,13.73%,4,16,1,3,7,4,2014-15
Aspire College Academy,293,40,13.65%,3,31,1,1,3,1,2014-15
Roosevelt Middle,547,69,12.61%,17,24,3,6,15,4,2014-15
Urban Promise Academy,329,41,12.46%,9,6,3,20,2,1,2014-15
ACORN Woodland Elementary,309,38,12.30%,7,25,0,0,0,6,2014-15
Rise Community,329,39,11.85%,16,19,1,0,0,3,2014-15
Oakland International High,443,52,11.74%,6,25,1,16,0,4,2014-15
Oakland Charter Academy,156,18,11.54%,0,4,2,0,11,1,2014-15
Elmhurst Community Prep,408,45,11.03%,20,7,2,4,8,4,2014-15
Skyline High,"1,966",206,10.48%,44,63,10,30,46,13,2014-15
Fruitvale Elementary,448,44,9.82%,7,8,1,0,28,0,2014-15
Futures Elementary,378,37,9.79%,5,14,0,0,16,2,2014-15
Manzanita Community,392,33,8.42%,5,25,1,0,2,0,2014-15
Think College Now,312,25,8.01%,15,9,0,0,0,1,2014-15
Madison Park Academy TK-5,308,24,7.79%,1,15,0,0,3,5,2014-15
Oakland High,"1,731",131,7.57%,43,37,5,5,32,9,2014-15
Aspire Monarch Academy,398,30,7.54%,0,27,0,0,2,1,2014-15
East Bay Innovation Academy,219,16,7.31%,2,7,1,3,0,3,2014-15
Sankofa Academy,409,28,6.85%,10,11,1,1,2,3,2014-15
East Oakland Pride Elementary,488,33,6.76%,19,10,2,0,1,1,2014-15
Montera Middle,930,62,6.67%,19,25,4,5,6,3,2014-15
KIPP Bridge Charter,347,23,6.63%,0,16,0,5,2,0,2014-15
Community United Elementary,467,29,6.21%,3,15,2,0,8,1,2014-15
Madison Park Academy 6-12,616,38,6.17%,9,8,1,3,12,5,2014-15
